Lkm,d100,d90,d80,d70,d60,d50
370,0.42167586620133,0.420109290356712,0.421238789307578,0.424298953147041,0.417803785348413,0.419784147292814
380,0.422321490023881,0.42221895905955,0.419045941368854,0.417654989540858,0.422357856344158,0.415708852693335
390,0.42918285014405,0.423727404420945,0.421019329901103,0.423781187581655,0.425972327635503,0.419844376587499
400,0.420056050262678,0.424987785829792,0.426366449526887,0.428688103057089,0.42127919840789,0.426334589691198
410,0.419552519725247,0.430261653772707,0.428084493465958,0.4288957772885,0.419590814070101,0.418583029964903
420,0.429206041496958,0.433759656286047,0.428481745846636,0.424004327717574,0.42166664720346,0.414289718490107
430,0.424006233593057,0.419972835703051,0.426050302485559,0.431498360981954,0.42431539743804,0.423658001062849
440,0.421659357353185,0.425420334971298,0.423329395012788,0.428138683008573,0.421382030834238,0.422208061186012
450,0.42181972973259,0.427433158995049,0.424521324294401,0.42750336041857,0.424980106984823,0.419021834020547
460,0.425761456352162,0.428264642714468,0.428826608959314,0.422849310087503,0.427771425374456,0.417686633121632
470,0.418420717244745,0.427271296572669,0.427404784621577,0.422540988768681,0.419064668547886,0.419552093379426
480,0.427018935201541,0.431575831515452,0.426215423961879,0.421402562864846,0.422064966471259,0.424536398389028
490,0.419648750656228,0.430905176988662,0.43045606350065,0.423479156165646,0.427360885609495,0.413526995220259
500,0.428099409821754,0.426585561746797,0.425739089454883,0.42430818535014,0.42567095537389,0.421005148949403
510,0.42784511542628,0.423233518824428,0.427779657856863,0.434304677152372,0.428872332844679,0.423843326068516
520,0.428341566834441,0.423383003988212,0.427066394469315,0.430654170557434,0.418156055053742,0.422444703547335
530,0.426667295818004,0.425241799672667,0.433260529435377,0.426698539414631,0.42361052070918,0.419707950750801
540,0.430408915182366,0.432266356344394,0.429724320155884,0.423468774503068,0.421237007574573,0.421342030011245
550,0.428055832713546,0.429418595339819,0.427389009276609,0.430491206003121,0.427758664650466,0.427908034218005
560,0.427168538624705,0.428630794019488,0.42522558465569,0.425402778098968,0.432119262567755,0.430858698985438
570,0.428020986933262,0.426946037513781,0.428221178445825,0.426419864808245,0.426886982399933,0.420471637613804
580,0.427064332957472,0.43194752153479,0.421419868866307,0.4306057164806,0.433805638700589,0.421517838302629
590,0.422551570879662,0.424541407488151,0.429523713574515,0.422582315086271,0.425329109494163,0.427946835510001
600,0.422667090844427,0.436327766639346,0.433183277697139,0.432953455952349,0.424740626011014,0.417975810638487
610,0.420482456745573,0.433117964067704,0.423053467404467,0.433443674979107,0.422640559063527,0.419310913921764
620,0.430446832325396,0.428163483594412,0.436273541552704,0.432594356564642,0.431955677443197,0.41984315704685
630,0.431970753266253,0.425132247047042,0.427641563744501,0.434755783714527,0.42735796583859,0.419606619548165
640,0.428586524018712,0.431524343005843,0.430021444889985,0.430550353667759,0.419676199418268,0.432239313126948
650,0.430245561607995,0.431133366527179,0.427007128121195,0.433470993045806,0.430728973556525,0.420729863554206
660,0.428237906951428,0.430993173345057,0.426597775251863,0.426553489032621,0.424458845636312,0.420439512882968
670,0.427195759927735,0.428160966021621,0.426596908804279,0.427953200848265,0.426865518462117,0.419004156722501
680,0.429716225039815,0.427836354911081,0.433500566392259,0.429759440547067,0.432249056141227,0.424348929951893
690,0.431375713268208,0.424229629590578,0.43061445239471,0.425915393320425,0.4218587300126,0.417600029632526
700,0.434046398865242,0.423694832874407,0.4305495157916,0.428086579947817,0.424384766334583,0.424089905202125
710,0.431672145637485,0.429972281846297,0.431162188692604,0.424912291531867,0.432919081261594,0.423509590893269
720,0.428702119412926,0.432658232379005,0.437731969719126,0.432175401456797,0.429939770624058,0.430746809115414
730,0.430486007986619,0.427553456237084,0.431690406110151,0.425278516610107,0.42753692898632,0.422426094497016
740,0.422714040759528,0.431330894576744,0.430519844774613,0.429646277599866,0.422929477208948,0.4234972731162
750,0.429136983941336,0.432294635751882,0.430823512876396,0.429191885935699,0.424504071342836,0.418031637538455
760,0.432465104547849,0.42265353380351,0.419789612658039,0.427168446433777,0.423735871056634,0.425143964866995
770,0.428652327829172,0.432134682493236,0.431852032719522,0.434390574605877,0.426831492789412,0.419520397253088
780,0.43733343203125,0.430329563570101,0.433351611636425,0.431810708342421,0.427246409433064,0.421257367906312
790,0.429368464390479,0.431799099762106,0.435281992655552,0.433966022627739,0.428984682428749,0.426474022555092
800,0.433064703683145,0.424078416498723,0.431530926757487,0.428118103830224,0.434792012647525,0.422432195471449
810,0.434188400533681,0.435021852445035,0.427703702128968,0.428358205821763,0.426340685566625,0.428160307321893
820,0.428433873480047,0.436324799613881,0.42560230903139,0.429726710046153,0.425325426955314,0.426178690335268
830,0.431446176650838,0.421378367733288,0.430541754331062,0.430571761070989,0.426394765290059,0.419599568008109
840,0.427310421616201,0.428121632315413,0.436054040452564,0.42807686219102,0.427054977070366,0.424481364229451
850,0.430493276628677,0.430611235909577,0.435422800344542,0.426721437176171,0.43026349236973,0.42848759138507
860,0.426035111115173,0.42855003438985,0.431572652145777,0.427402274047196,0.431060819679019,0.419794454418331
870,0.429450663683995,0.43361454036285,0.432788407695629,0.431041206723924,0.425646727379479,0.421657730401419
880,0.433436692078006,0.437548327876014,0.431141494022287,0.428031441411824,0.431855114038786,0.429825744462753
890,0.43176869127194,0.425449592302107,0.437951422617663,0.424855289366656,0.432586479770263,0.428993365273885
900,0.430853374917677,0.431903240809068,0.428818840655686,0.432882765862912,0.433027389718353,0.427775913617477
910,0.426047168780176,0.432919828197065,0.426573533676887,0.434085562702386,0.426461058205848,0.421867667735155
