Lkm,G10,G15,G20,G25,G30
47,-0.0266908081437773,-0.115792884198369,-0.223304696584788,-0.193727805134348,-0.178590225450132
48,-0.0276947028078545,-0.119946740544892,-0.228274180888056,-0.191179148563594,-0.181562743614388
49,-0.0291367396531326,-0.124120391190529,-0.230069857311233,-0.186900172465617,-0.185957387205918
50,-0.0298684951511459,-0.126622410585841,-0.233289241008636,-0.186069356345616,-0.186851645763695
51,-0.0312175356512928,-0.130820910747779,-0.232775125695345,-0.182936655149406,-0.191145782068395
52,-0.0322654527373248,-0.133490701880531,-0.234291540651615,-0.174189554110838,-0.196113742425771
53,-0.0332771643609864,-0.138872102070198,-0.233208985949184,-0.173520476016223,-0.198819278096962
54,-0.0346805474696142,-0.142514421289763,-0.234918243125698,-0.170430572987354,-0.201958711689945
55,-0.0359183882090486,-0.147137059864143,-0.232721714345239,-0.171170515143717,-0.201450111534109
56,-0.0373238848517027,-0.151321639755846,-0.235280223768128,-0.169694281127231,-0.203496532471665
57,-0.0383307625587014,-0.154155980570201,-0.235198238647435,-0.167617700233185,-0.205276748103539
58,-0.0397588810776712,-0.158188738428224,-0.230849979112784,-0.166796670459133,-0.202439295033201
59,-0.0411667234110864,-0.16089655898984,-0.230342025648282,-0.16657724508942,-0.203529620615551
60,-0.0427941410170031,-0.16450924460313,-0.232227006455799,-0.165308650951739,-0.202561922232529
61,-0.0435906090238567,-0.169068679315753,-0.226938737145202,-0.167274605858582,-0.200977872339793
62,-0.045226156994381,-0.172449798911503,-0.226012370063743,-0.168666116701792,-0.199338623038697
63,-0.0466625314606748,-0.176658728862639,-0.225784152759309,-0.166772126896661,-0.195482556978729
64,-0.0477185805897591,-0.178244220111707,-0.223226027628728,-0.169764737895065,-0.191780640810879
65,-0.0488715257416219,-0.183289691889093,-0.219943917961921,-0.170171158409239,-0.190703354713503
66,-0.0510958352755359,-0.18593089611131,-0.216962024825322,-0.174229947707918,-0.18807158117124
67,-0.051496157171033,-0.189833859442149,-0.213436533912174,-0.173843753063789,-0.185146084739464
