Lkm,G10,G15,G20,G25,G30,G35,G40,G45,G50,G55,G60,G65,G70,G75,G80,G85,G90,G95,G100
11,0.00132417563836996,0.00700997858790829,0.0225560786649583,0.0521314900619799,0.094114174576224,0.145368731108377,0.203851709118528,0.26656012656351,0.304087986518254,0.33203499734111,0.346594073026871,0.352074085203768,0.370209763797312,0.377114532423324,0.387544868828004,0.387723868181462,0.393935577950746,0.398148808402277,0.405539585601056
12,0.0015431524296121,0.00864956167256427,0.0268332743744418,0.0587859670255186,0.110215380943336,0.166514431472663,0.227784313840914,0.281325023215875,0.316000346036937,0.332439033157377,0.352523573078134,0.361776369889329,0.378503310600966,0.382683739606938,0.39208606498099,0.39145491611137,0.40536693571937,0.405264114156092,0.400084917740214
13,0.00176031865414608,0.00989374326107256,0.0306595686705494,0.0653235915239348,0.121867429547697,0.188341549668659,0.248355894042955,0.296230198689784,0.328004562071998,0.343343249762686,0.355990931663389,0.371309648122104,0.378948927720102,0.389309494394116,0.392609217824341,0.396755223218639,0.40068005662887,0.407482176165918,0.412389406384726
14,0.00231569508285169,0.0111649098643692,0.0365089223272233,0.0756622598388438,0.134791278535752,0.200017562646144,0.263212446452021,0.304477054670981,0.335218752136717,0.348027536449539,0.358512635507066,0.373480704306462,0.38383245380204,0.392696172957871,0.403359756008638,0.397958331905042,0.403643454018166,0.409770926100371,0.407850359823292
15,0.00251372604074831,0.0136299176903651,0.0398855187951926,0.0857955832939206,0.149488299326735,0.218781982885604,0.274863152695967,0.316270493636444,0.3415027873011,0.353459246933163,0.363952266595526,0.376812739034544,0.385204176003581,0.39053178009351,0.39733401735632,0.402131036702767,0.413543379348751,0.404529885705317,0.407148885515723
16,0.00247608927718562,0.0146863629375077,0.044995509478581,0.100104382992972,0.165921556712737,0.232717015809078,0.292678797449018,0.328865433018321,0.343444080350676,0.363281441425458,0.375209378190577,0.384821799593812,0.388966880617002,0.389913587399717,0.398777307811064,0.40561972009801,0.408291073222209,0.409844422833197,0.413117751409936
17,0.00377790538389927,0.017694677373124,0.0496593195289937,0.105141880227501,0.177177783069919,0.245656909645818,0.301482749513013,0.334216935758145,0.35283624193238,0.366746611932886,0.37681310087715,0.384713424435805,0.389813397102215,0.395730604896032,0.409587087900548,0.413536441540921,0.407353829154544,0.408707326339461,0.414023260072276
18,0.00422191552528395,0.0185495842397803,0.0582584460837561,0.115231742343647,0.189342000737463,0.258954103862102,0.312971749767728,0.339786414825174,0.355112424866755,0.373397021142672,0.37688781650992,0.38120332438306,0.39679526086654,0.401056092086628,0.402256607237337,0.408428078999428,0.411470863664805,0.414745749059628,0.415989538972296
19,0.00403515146247392,0.0209971683225324,0.0612640583465412,0.122598088982848,0.199087099683538,0.272723668278495,0.318807937021763,0.335139201207716,0.360482250929248,0.374588968367244,0.382656753649245,0.388739876705887,0.398967761075336,0.403922798082992,0.407380493681365,0.408063161673618,0.413220679736776,0.42079987331904,0.411958118887766
20,0.00453694348002803,0.0221031005668892,0.0672104337944452,0.134024982375417,0.213629018299409,0.276292803594196,0.331014364666069,0.342178345300519,0.367466973234444,0.376168192405484,0.387566377622445,0.39653819784796,0.397072937186483,0.404336474663274,0.411860487602743,0.40587023634447,0.408151097655223,0.411962329411049,0.416110249639975
21,0.00472097142793401,0.0267509395010733,0.0728314015153243,0.144605457326649,0.223906988198021,0.293587403171881,0.333710859667934,0.347216552800035,0.365837154368927,0.378009252402324,0.389748942908035,0.389378635931867,0.398668104275781,0.397737987906037,0.409985655026468,0.416033196739614,0.417436531092992,0.419794578270753,0.418995688625025
22,0.00544225249619652,0.027312545574046,0.0771679408386376,0.154413531476572,0.238168258060327,0.301286308348532,0.330292079936694,0.350632916628904,0.365307660723678,0.38555455088418,0.39150073914576,0.397101035345556,0.398330896805442,0.406403201960243,0.407878393460412,0.411577816503671,0.417547997153324,0.417292049746017,0.424626144017384
23,0.00568839360341377,0.0300798159792879,0.0841077251268315,0.161970076850659,0.246464134207382,0.303180731389762,0.340518194522879,0.356433798869152,0.369619868630284,0.387852904742802,0.394378066019532,0.398780079729699,0.403949432921252,0.407547091747,0.416001701024858,0.41103136563647,0.420953483882453,0.417857973286015,0.418618378595256
24,0.00665125417752025,0.033260974623664,0.0886849194845845,0.172211684410694,0.257707427793151,0.314954966305656,0.342224036787118,0.35648455028558,0.37120596497346,0.38776565384453,0.395606740316219,0.404422772605549,0.406015576258704,0.411595017028176,0.414458049809323,0.414422753295846,0.414245418248476,0.422241332543989,0.431652488071558
25,0.00694249708643816,0.0371810930380372,0.097502959990385,0.179175275853287,0.26489452210918,0.320755100624991,0.345892008233131,0.363044745002912,0.379240922780845,0.39044313260259,0.394492588948136,0.40209618789834,0.411182961423467,0.412983115557382,0.413793415690203,0.408757520154554,0.412224681280618,0.42015003579482,0.425111421563353
26,0.0077730911076543,0.0400616167718908,0.102384954182759,0.19166464906154,0.273751274764188,0.328386180410187,0.347289375264046,0.364273077444596,0.386786516367313,0.383266490001625,0.39792958296567,0.404960153719582,0.410108262212463,0.415404365906252,0.408276064526392,0.417740743835211,0.425177092703252,0.425721251188953,0.419524685338353
27,0.00889152306038146,0.0418239367505668,0.109025005184391,0.200900280467967,0.275512490921751,0.329162305962076,0.348547467567917,0.366969501081544,0.381904829727822,0.392225595028973,0.397319963930044,0.401839777960337,0.408539244037102,0.41243272654731,0.420126072829059,0.425005290062234,0.424113211894758,0.421487359398298,0.418194008740429
28,0.00911545606835089,0.04567424574494,0.112471271607908,0.205900701255305,0.288076846410037,0.334183886977375,0.355307311835194,0.370474564851508,0.383007776842879,0.392621617656966,0.400593518885678,0.409121219705981,0.412072048714363,0.412760965084142,0.42029686960557,0.416021858677518,0.422289635428145,0.414767245054279,0.429896709584234
29,0.00955131033148704,0.0472449582425402,0.121041502293104,0.212809343472322,0.29355067279717,0.335667301025512,0.360498743088428,0.375596246988502,0.37805608104038,0.394986136100061,0.406410092833757,0.403935762909668,0.414887179939909,0.411072130101725,0.416406506835352,0.423191840265847,0.426740681963437,0.416701467869862,0.420064480955286
30,0.010429417156745,0.049878372915567,0.129360221534346,0.225767990674575,0.297870275527517,0.340896763069791,0.358176187952618,0.378586751878533,0.389560861444536,0.395431213221114,0.397815398686734,0.410733487675607,0.417112925468663,0.420406055184331,0.41785540314854,0.41837208052551,0.427538453320088,0.428597607819616,0.429458203374817
31,0.010902362883343,0.0530207417343929,0.132635615307854,0.2253435734302,0.305226795520291,0.343471858505297,0.359733081184326,0.375403217984393,0.389180061774013,0.396294947061565,0.404188971728561,0.408110477537328,0.412716855480793,0.414385561927956,0.421310226409808,0.421184289963236,0.425577849416891,0.424468947069261,0.421532858024501
