Lkm,Dnu1G,Dnu100M,Dnu10M,Dnu1M,Dnu100k,Dnu10k,Dnu1k
320,0.421973486120889,0.424498943620477,0.42079072508451,0.418553207728536,0.426512925291805,0.42479209309109,0.419550938983098
330,0.427735832790013,0.420250078552997,0.418354248732596,0.424335824201702,0.41989191636789,0.416596941479566,0.412139732985518
340,0.422109127040903,0.426818821677555,0.426532241613913,0.429721004778768,0.42537943350153,0.418338380105541,0.426322522836784
350,0.424700274868568,0.419927405335296,0.420875249370038,0.425572119225293,0.424071163336972,0.415030254798493,0.415971182300859
360,0.417348333387589,0.418407335402298,0.427973497360794,0.418266673507228,0.422474471803116,0.425630052936968,0.422163215159055
370,0.433013170965149,0.424875098314544,0.425529889154993,0.422994959588707,0.418491147794671,0.426691359462375,0.420550321529404
380,0.424729210778253,0.418789720893395,0.422467347567,0.422247908910454,0.431180554969708,0.431896470537307,0.426746955960693
390,0.424930439906298,0.427029425682115,0.420841195892993,0.42777129380285,0.428764305446715,0.426255622293882,0.426769184118855
400,0.429263469236997,0.418201180513818,0.425352635220271,0.426245859037981,0.42263443844497,0.418313127375861,0.433576211735263
410,0.423537387865403,0.422593491234336,0.420677880932045,0.427541693852254,0.427347962873717,0.426588460318206,0.425477928492542
420,0.428689826876858,0.424899469250892,0.428806717898101,0.427238862371353,0.425533069211842,0.426854971996059,0.427518828014178
430,0.428897000839379,0.420189423467557,0.42589949832901,0.422294371072128,0.423024668626844,0.424518497110914,0.42479866606169
440,0.423944146503687,0.428837430195964,0.420636548147315,0.425705736074431,0.424056764594302,0.425886167573159,0.426417316451451
450,0.423907705276935,0.432880507741179,0.427861342346021,0.433214987870857,0.42760879604388,0.428309727617152,0.428100072199488
460,0.423277109749868,0.4292398632233,0.426898357003693,0.422680061092757,0.424775951972945,0.42007626668084,0.427983737915486
470,0.427139446096222,0.430312750141462,0.425667651747621,0.429258546658225,0.426220399681052,0.418171198540922,0.430895932854804
480,0.431238568365546,0.427185995189805,0.42722835584303,0.424279084444461,0.430790174253623,0.429189382274787,0.423657174818467
490,0.427942095289403,0.428889926010874,0.42619972104317,0.424158975377409,0.422892961027671,0.426997128236135,0.419615524611988
500,0.43572049409319,0.429432426601871,0.423624625736027,0.430240400895816,0.425483432531196,0.429002226622837,0.432133624912396
510,0.425600522389216,0.420684955225499,0.430272642920119,0.43005279276738,0.421042827541621,0.430204370877294,0.421895267186602
520,0.432449976837933,0.423875127389842,0.427961166064463,0.423067219553216,0.428324886389329,0.426953406967782,0.428087993056722
530,0.427350029763666,0.427002643371164,0.427868892020241,0.429554942658004,0.429671880068603,0.419233567998126,0.433495233517876
540,0.432544391488724,0.427127543851589,0.43105543815354,0.426347359246953,0.430293069374598,0.425852261747235,0.429393685995835
