Lkm,L1000,L1100,L1200,L1300,L1400,L1500,L1600,L1700,L1800,L1900
122,-0.0875946258012491,-0.203462424357693,-0.168833083006226,-0.200606014679554,-0.182135325897621,-0.195527202232194,-0.182702778574686,-0.188181035931658,-0.192640537201106,-0.184516100396568
123,-0.0881805231003207,-0.206562650619028,-0.166911455771454,-0.19892848890342,-0.183158706770847,-0.194136320736053,-0.181315697152339,-0.194613806760048,-0.194337262117234,-0.184076700651649
124,-0.090402753405095,-0.210703723475446,-0.16604294035365,-0.197096235601745,-0.185359586776341,-0.193372663974508,-0.177820144748431,-0.196945102924702,-0.1909649475572,-0.183413001333468
125,-0.0913177041808244,-0.209034169947867,-0.165427823028934,-0.197763429925945,-0.182060104996446,-0.196776963083924,-0.17897472176931,-0.192429117757684,-0.191568037243927,-0.187321328914429
126,-0.0927325369630576,-0.209992928376415,-0.167227863343063,-0.195830708642307,-0.187793139371686,-0.191713709037553,-0.181622697721171,-0.194654187080892,-0.186820634077973,-0.184629671527117
127,-0.0941524768815833,-0.210303248206386,-0.165232080202095,-0.193429991638725,-0.187753649095052,-0.192162920589059,-0.187242924658149,-0.196888080990083,-0.19035979237308,-0.184491722294552
128,-0.0953063460036012,-0.212869667050153,-0.168536581678197,-0.191985518312664,-0.189566613278766,-0.187954128135172,-0.188405082580552,-0.197179514523952,-0.184455672743734,-0.183627461632726
129,-0.0971410717467245,-0.215801238279531,-0.169634535334434,-0.191685335678053,-0.189278055576153,-0.18687986422577,-0.184391277395376,-0.197369470599563,-0.183604311915586,-0.187919521459678
130,-0.0977713611343395,-0.2179741277437,-0.167029553075796,-0.189270618896025,-0.184828885231333,-0.187301606056501,-0.186891693029513,-0.194592537783729,-0.18197110175143,-0.184605346647781
131,-0.0983467209157784,-0.216844051565794,-0.170587046192696,-0.188212412544154,-0.193992209701875,-0.185238354063476,-0.185714153255237,-0.194626994962827,-0.186798267628673,-0.189817231152406
132,-0.100864347588061,-0.216683501906617,-0.171793487960581,-0.184023737850554,-0.190294433006676,-0.185847327746909,-0.192049374592542,-0.193691019534514,-0.188525040514773,-0.193151015167132
133,-0.10181297931806,-0.217191131943107,-0.172899860194712,-0.184441583002415,-0.194235744276013,-0.182496374016617,-0.189857994199832,-0.192429883009884,-0.184400622079358,-0.192971277093095
134,-0.103255720925075,-0.217900309205531,-0.175252657209865,-0.188362040823505,-0.191396557281529,-0.184780911559987,-0.191701992701092,-0.194374279623672,-0.186506047351996,-0.19216229946394
135,-0.104610686999233,-0.221013038159369,-0.176452260719537,-0.18391927637147,-0.195062725188065,-0.181944202592353,-0.190546992226346,-0.194146473367863,-0.183641929282969,-0.196650837405773
