Lkm,pd340,pd680,pd1020,pd1360,pd1700,pd3400,pd5100
340,0.415352491774784,0.414876889593511,0.415673217484699,0.418513986533335,0.418303971544248,0.419616442608537,0.421404440993345
350,0.414802725526872,0.417244674067635,0.41918266158315,0.417835431613936,0.418049220647637,0.42218637585713,0.420787777688402
360,0.414606068713716,0.418781924859415,0.419617725594771,0.417396876007582,0.416921746442042,0.421980652435661,0.422309724029756
370,0.418690603716787,0.419325482870991,0.419299013965206,0.419864748602638,0.422610266367396,0.424842167494852,0.420902193218519
380,0.421017558861993,0.420780909813426,0.419827008634504,0.417327383775081,0.41954984340735,0.422302473026901,0.421445469653402
390,0.419067934612525,0.419804323781448,0.418976312022685,0.420106106218681,0.419495660555131,0.42247901266408,0.422704750120547
400,0.41943199399843,0.421718958625866,0.419614496416605,0.417691391270927,0.419081430226581,0.420869136571297,0.421914463801573
410,0.420024946322738,0.419500062976621,0.418650515160878,0.418405127526681,0.419639242716977,0.422501461690408,0.422854622401749
420,0.418315193976293,0.419935963471604,0.418588360576464,0.421967410216012,0.420011988128287,0.422885592272411,0.421121815613624
430,0.41999662898638,0.422424402442121,0.419463461203395,0.419006362288435,0.422515173898423,0.4230107896151,0.42150148550409
440,0.417203159956339,0.420244574004237,0.420643884175046,0.418855967798273,0.419344677180991,0.423587674120204,0.423222180423218
450,0.418924582377914,0.419171237251434,0.421821816042622,0.419009484871667,0.419383419466932,0.422064008966629,0.422930726003709
460,0.420344061923332,0.420570286364757,0.420945169201009,0.420177714319106,0.422111876631535,0.425077662718773,0.423388941264682
470,0.418052795570754,0.419838529020505,0.419810432312316,0.422687743442474,0.42205087056263,0.425354355312294,0.426163505821973
480,0.419795891809683,0.420271613951716,0.420643740217758,0.420611139610025,0.421557303090354,0.419290758422403,0.424026182007302
490,0.420214067731048,0.422235621762177,0.419128894984449,0.422221178455805,0.423442947041693,0.421541557708303,0.424815733162292
500,0.42155802376147,0.42233841794245,0.41894542504417,0.420138196182325,0.420911675800242,0.421097129218302,0.422306188254364
510,0.419192275699111,0.420483383186285,0.42167021257396,0.423113794491475,0.423957677038051,0.424390189032735,0.424974447373702
520,0.421669382135631,0.422779473462754,0.421846662947207,0.419341739720735,0.421503563436797,0.422423875133186,0.425144386235789
530,0.420682314301378,0.419587103419929,0.42124791241923,0.421323180746207,0.42165425375463,0.422899890944923,0.422031146971817
540,0.422391020769328,0.422882776134231,0.421023840712923,0.4216628651741,0.421206614327943,0.424607543192468,0.423873845953483
550,0.420226280306129,0.421986381216668,0.421715460135654,0.423199743277127,0.419535425665934,0.424229568325891,0.424917395289229
560,0.423025888511527,0.42393374487931,0.422995589689729,0.422756877289343,0.423263337871087,0.423882536471584,0.422115851976687
570,0.422357946358624,0.424369962830674,0.424243933211707,0.424170557646701,0.423461558531641,0.421822965947604,0.425617405281234
580,0.421232279915278,0.425001279668762,0.420471841257556,0.423132180361863,0.42271252666187,0.423668608906384,0.422739839556806
590,0.423946012294075,0.422511376670514,0.425085461994941,0.423387372716653,0.422085009086986,0.423038357846237,0.425715307248246
600,0.422450827309569,0.42221322277781,0.422600341495072,0.421338415520789,0.424272306625324,0.42155971332846,0.424052704085297
610,0.421751863268409,0.419443540311476,0.419936368637627,0.424864644872708,0.425744608329518,0.423386400734554,0.424572247844477
620,0.425762627721264,0.423753391784364,0.422681422755014,0.424817815682878,0.42267561461615,0.422974667761075,0.423985202808737
630,0.422085686664978,0.423135241189769,0.426051901615649,0.424793110674493,0.424182228317559,0.425580552238305,0.427794982211783
